date,close
1/2/2025,31.29999924
1/3/2025,31.47999954
1/6/2025,31.57999992
1/7/2025,31.37999916
1/8/2025,31.37999916
1/10/2025,31.02000046
1/13/2025,30.98999977
1/14/2025,31.05999947
1/15/2025,31.45000076
1/16/2025,31.48999977
1/17/2025,31.63999939
1/21/2025,31.90999985
1/22/2025,31.95000076
1/23/2025,32.02000046
1/24/2025,32.04999924
1/27/2025,31.87999916
1/28/2025,32
1/29/2025,31.94000053
1/30/2025,32.13000107
1/31/2025,31.98999977
2/3/2025,31.84000015
2/4/2025,32.04000092
2/5/2025,32.18999863
2/6/2025,32.25
2/7/2025,32.06999969
2/10/2025,32.20000076
2/11/2025,32.18000031
2/12/2025,32.09000015
2/13/2025,32.36999893
2/14/2025,32.40000153
2/18/2025,32.43999863
2/19/2025,32.40999985
2/20/2025,32.40999985
2/21/2025,32.18000031
2/24/2025,32.09000015
2/25/2025,32.13999939
2/26/2025,32.20000076
2/27/2025,31.90999985
2/28/2025,32.11000061
3/3/2025,31.90999985
3/4/2025,31.75
3/5/2025,32
3/6/2025,31.71999931
3/7/2025,31.81999969
3/10/2025,31.37999916
3/11/2025,31.26000023
3/12/2025,31.35000038
3/13/2025,31.15999985
3/14/2025,31.52000046
3/17/2025,31.71999931
3/18/2025,31.61000061
3/19/2025,31.79000092
3/20/2025,31.71999931
3/21/2025,31.67000008
3/24/2025,31.86000061
3/25/2025,31.88999939
3/26/2025,31.67000008
3/27/2025,31.63999939
3/28/2025,31.38999939
3/31/2025,31.39999962
4/1/2025,31.5
4/2/2025,31.61000061
4/3/2025,30.95000076
4/4/2025,29.92000008
4/7/2025,29.59000015
4/8/2025,29.31999969
4/9/2025,30.62999916
4/10/2025,30.14999962
4/11/2025,30.5
4/14/2025,30.75
4/15/2025,30.79999924
4/16/2025,30.55999947
4/17/2025,30.55999947
4/21/2025,30.35000038
4/22/2025,30.75
4/23/2025,30.98999977
4/24/2025,31.37000084
4/25/2025,31.46999931
4/28/2025,31.55999947
4/29/2025,31.65999985
4/30/2025,31.69000053
5/1/2025,31.70999908
5/2/2025,31.97999954
5/5/2025,31.89999962
5/6/2025,31.82999992
5/7/2025,31.82999992
5/8/2025,31.87999916
5/9/2025,31.92000008
5/12/2025,32.34999847
5/13/2025,32.45999908
5/14/2025,32.40999985
5/15/2025,32.58000183
5/16/2025,32.68999863
5/19/2025,32.75
5/20/2025,32.70000076
5/21/2025,32.40000153
5/22/2025,32.40999985
5/23/2025,32.38000107
5/27/2025,32.75
5/28/2025,32.59999847
5/29/2025,32.70999908
5/30/2025,32.72999954
6/2/2025,32.81999969
6/3/2025,32.86999893
6/4/2025,32.97000122
6/5/2025,32.90000153
6/6/2025,33.00999832
6/9/2025,33.06000137
6/10/2025,33.16999817
6/11/2025,33.16999817
6/12/2025,33.29999924
6/13/2025,33
6/16/2025,33.15000153
6/17/2025,32.99000168
6/18/2025,33.00999832
6/20/2025,32.93000031
6/23/2025,33.11000061
6/24/2025,33.11000061
6/25/2025,33.38000107
6/26/2025,33.59999847
6/27/2025,33.68000031
6/30/2025,33.43000031
7/1/2025,33.41999817
7/2/2025,33.5
7/3/2025,33.59999847
7/7/2025,33.36999893
7/8/2025,33.40000153
7/9/2025,33.54999924
